day	depth	temp
25	0	0.6
25	1	0.6
25	2	0.6
25	3	0.7
25	4	0.7
25	5	0.7
25	6	0.7
25	7	0.6
25	8	0.7
25	9	0.6
25	10	0.7
53	0	4.2
53	1	4.2
53	2	4.2
53	3	4.2
53	4	4.2
53	5	4.2
53	6	4.2
53	7	4.2
53	8	4.2
53	9	4.2
53	10	4.2
74	0	3.7
74	1	3.7
74	2	3.7
74	3	3.7
74	4	3.7
74	5	3.6
74	6	3.6
74	7	3.6
74	8	3.6
74	9	3.7
74	10	3.7
95	0	5.7
95	1	5.6
95	2	5.5
95	3	5.5
95	4	5.5
95	5	5.5
95	6	5.4
95	7	5.4
95	8	5.4
95	9	5.4
95	10	5.4
109	0	6.3
109	1	6.3
109	2	6.3
109	3	6.3
109	4	6.2
109	5	6.2
109	6	6.2
109	7	6.2
109	8	6.2
109	9	6.2
109	10	6.2
123	0	13.2
123	1	11.9
123	2	11.7
123	3	11.3
123	4	11
123	5	10.7
123	6	10.4
123	7	10.2
123	8	9.6
123	9	9.1
123	10	9
135	0	11.7
135	1	11.6
135	2	11.6
135	3	11.6
135	4	11.6
135	5	11.4
135	6	11.3
135	7	11.3
135	8	11.3
135	9	11.3
135	10	10.3
142	0	14.6
142	1	13
142	2	12.4
142	3	12.2
142	4	12.1
142	5	12.1
142	6	12
142	7	11.9
142	8	11.8
142	9	11.7
142	10	11.7
149	0	21
149	1	19.3
149	2	18.6
149	3	17.8
149	4	14.7
149	5	13.3
149	6	12.6
149	7	12.1
149	8	11.8
149	9	11.7
149	10	11.4
153	0	17.8
153	1	17.8
153	2	17.8
153	3	17.8
153	4	17.8
153	5	17.8
153	6	12.7
153	7	12.4
153	8	12
153	9	11.8
153	10	11.6
160	0	17.7
160	1	17.7
160	2	17.7
160	3	17.7
160	4	17.5
160	5	16.2
160	6	15.3
160	7	13.6
160	8	12.5
160	9	12
160	10	11.6
170	0	16.6
170	1	16.6
170	2	16.4
170	3	16.3
170	4	16.3
170	5	16.1
170	6	16
170	7	14.5
170	8	14
170	9	13.4
170	10	12.9
180	0	19.6
180	1	19.6
180	2	19.5
180	3	18.8
180	4	18.8
180	5	18.7
180	6	15.9
180	7	15.5
180	8	14.9
180	9	13.9
180	10	13
188	0	22
188	1	21.1
188	2	19.6
188	3	19.5
188	4	19.5
188	5	19.1
188	6	17.7
188	7	16.6
188	8	15.2
188	9	14.4
188	10	13.3
193	0	24.2
193	1	24.1
193	2	24
193	3	21.8
193	4	19.8
193	5	18.8
193	6	17.8
193	7	16.8
193	8	16.2
193	9	15
193	10	13.9
207	0	23.3
207	1	23
207	2	22.3
207	3	22.2
207	4	21.8
207	5	21
207	6	19.2
207	7	17.4
207	8	16.3
207	9	15.6
207	10	14.8
221	0	23.7
221	1	23.1
221	2	22.8
221	3	22.6
221	4	22.4
221	5	22.3
221	6	20.8
221	7	19.1
221	8	17.2
221	9	16.2
221	10	15.5
235	0	23.1
235	1	23.1
235	2	22.9
235	3	22.4
235	4	22.3
235	5	21.8
235	6	21.3
235	7	20.6
235	8	18.8
235	9	17.5
235	10	17.5
249	0	16.5
249	1	16.3
249	2	16.2
249	3	16.1
249	4	15.9
249	5	15.9
249	6	15.9
249	7	15.9
249	8	15.9
249	9	15.9
249	10	15.8
263	0	16.2
263	1	16.1
263	2	16
263	3	16
263	4	15.9
263	5	15.9
263	6	15.8
263	7	15.8
263	8	15.8
263	9	15.8
263	10	15.7
277	0	13.5
277	1	13.5
277	2	13.5
277	3	13.4
277	4	13.4
277	5	13.3
277	6	13.3
277	7	13.3
277	8	13.3
277	9	13.2
277	10	13.1
298	0	11
298	1	11
298	2	11
298	3	10.9
298	4	10.9
298	5	11
298	6	10.9
298	7	10.9
298	8	10.8
298	9	10.8
298	10	10.7
312	0	7
312	1	6.9
312	2	6.8
312	3	6.8
312	4	6.8
312	5	6.8
312	6	6.8
312	7	6.8
312	8	6.8
312	9	6.8
312	10	6.8
340	0	0.5
340	1	0.5
340	2	0.6
340	3	0.6
340	4	0.6
340	5	0.6
340	6	0.6
340	7	0.7
340	8	0.8
340	9	0.9
340	10	1
